match_id,date,team1,team2,winner,result,winner_by_runs,winner_by_wickets,venue,toss_winner,toss_decision,home_team
1114876,2018-01-08,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,,5,,"Bellerive Oval, Hobart",Hobart Hurricanes,bat,Hobart Hurricanes
1114878,2018-01-09,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,,,8,Adelaide Oval,Melbourne Stars,bat,Adelaide Strikers
1114879,2018-01-10,Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,,3,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Hobart Hurricanes,bat,Brisbane Heat
1114880,2018-01-11,Sydney Thunder,Perth Scorchers,Sydney Thunder,,3,,Sydney Showground Stadium,Sydney Thunder,bat,Sydney Thunder
1114881,2018-01-12,Melbourne Renegades,Melbourne Stars,Melbourne Stars,,23,,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
1114883,2018-01-13,Sydney Sixers,Sydney Thunder,Sydney Sixers,,,8,"Sydney Cricket Ground, Sydney",Sydney Sixers,field,Sydney Sixers
1114882,2018-01-13,Adelaide Strikers,Perth Scorchers,Perth Scorchers,,,6,Traeger Park,Perth Scorchers,field,
1114884,2018-01-15,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,,,6,"Bellerive Oval, Hobart",Brisbane Heat,bat,Hobart Hurricanes
1114885,2018-01-16,Melbourne Stars,Sydney Sixers,Sydney Sixers,,,8,Melbourne Cricket Ground,Sydney Sixers,field,Melbourne Stars
1114886,2018-01-17,Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,,11,,Adelaide Oval,Adelaide Strikers,bat,Adelaide Strikers
1114887,2018-01-18,Sydney Sixers,Brisbane Heat,Sydney Sixers,,,9,"Sydney Cricket Ground, Sydney",Sydney Sixers,field,Sydney Sixers
1114889,2018-01-20,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,,,5,Western Australia Cricket Association Ground,Perth Scorchers,field,Perth Scorchers
1114888,2018-01-20,Melbourne Stars,Sydney Thunder,Sydney Thunder,,,7,Melbourne Cricket Ground,Sydney Thunder,field,Melbourne Stars
1114890,2018-01-22,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,,26,,"Docklands Stadium, Melbourne",Melbourne Renegades,field,Melbourne Renegades
1114891,2018-01-23,Sydney Sixers,Melbourne Stars,Sydney Sixers,,,5,"Sydney Cricket Ground, Sydney",Sydney Sixers,field,Sydney Sixers
1114892,2018-01-24,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,,9,,"Manuka Oval, Canberra",Sydney Thunder,field,Sydney Thunder
1114893,2018-01-25,Perth Scorchers,Adelaide Strikers,Perth Scorchers,,,4,Western Australia Cricket Association Ground,Perth Scorchers,field,Perth Scorchers
1114895,2018-01-27,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,,26,,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,field,Brisbane Heat
